23-04-2022 11:51:14 : 	 Floor Number 10 	 Enters 23 	 Exits 23 	 Weight 12.0

23-04-2022 11:52:38 : 	 Floor Number 3 	 Enters 5 	 Exits 0 	 Weight 458.76

23-04-2022 11:52:49 : 	 Floor Number 8 	 Enters 0 	 Exits 2 	 Weight 277.73

23-04-2022 11:53:07 : 	 Floor Number 0 	 Enters 0 	 Exits 0 	 Weight 277.73

23-04-2022 11:55:22 : 	 Floor Number 10 	 Enters 23 	 Exits 23 	 Weight 12.0

23-04-2022 11:55:48 : 	 Floor Number 10 	 Enters 23 	 Exits 23 	 Weight 12.0

23-04-2022 11:59:36 : 	 Floor Number 10 	 Enters 23 	 Exits 23 	 Weight 12.0

24-04-2022 01:17:25 : 	 Floor Number 3 	 Enters 6 	 Exits 0 	 Weight 449.87

24-04-2022 01:17:34 : 	 Floor Number 3 	 Enters 1 	 Exits 0 	 Weight 525.06

24-04-2022 01:17:44 : 	 Floor Number 5 	 Enters 0 	 Exits 3 	 Weight 300.11

24-04-2022 01:21:09 : 	 Floor Number 5 	 Enters 3 	 Exits 0 	 Weight 661.8

